Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.566,0.984111,0.566,0.00929238,0.566,0.00843066,0.566,0.00814792
0.568,0.985171,0.568,0.00930117,0.568,0.00844527,0.568,0.00816253
0.57,0.986197,0.57,0.00930996,0.57,0.00845988,0.57,0.00817714
0.572,0.987187,0.572,0.00932754,0.572,0.00849398,0.572,0.00821123
0.574,0.988141,0.574,0.00934731,0.574,0.00852807,0.574,0.00824533
0.576,0.989061,0.576,0.0093583,0.576,0.00853781,0.576,0.00825507
0.578,0.989944,0.578,0.00936489,0.578,0.00855242,0.578,0.00826968
0.58,0.990792,0.58,0.00937148,0.58,0.00856216,0.58,0.00827942
0.582,0.991603,0.582,0.00937808,0.582,0.0085719,0.582,0.00828916
0.584,0.992378,0.584,0.00939565,0.584,0.00859626,0.584,0.00831351
0.586,0.993117,0.586,0.00941323,0.586,0.00862548,0.586,0.00834273
0.588,0.993819,0.588,0.00942202,0.588,0.00864009,0.588,0.00835735
0.59,0.994484,0.59,0.00942861,0.59,0.00864983,0.59,0.00836709
0.592,0.995113,0.592,0.00943301,0.592,0.00865957,0.592,0.00837683
0.594,0.995704,0.594,0.0094396,0.594,0.00866931,0.594,0.00838657
0.596,0.996258,0.596,0.00945278,0.596,0.00868879,0.596,0.00840605
0.598,0.996774,0.598,0.00946817,0.598,0.00871315,0.598,0.0084304
0.6,0.997253,0.6,0.00947695,0.6,0.00871802,0.6,0.00843527
0.602,0.997694,0.602,0.00948355,0.602,0.00872289,0.602,0.00844014
0.604,0.998097,0.604,0.00948794,0.604,0.00872776,0.604,0.00844501
0.606,0.998461,0.606,0.00949234,0.606,0.00873263,0.606,0.00844988
0.608,0.998788,0.608,0.00949893,0.608,0.00874237,0.608,0.00845962
0.61,0.999076,0.61,0.00950772,0.61,0.00875211,0.61,0.00846936
0.612,0.999325,0.612,0.00951211,0.612,0.00875698,0.612,0.00847424
0.614,0.999535,0.614,0.00951651,0.614,0.00875698,0.614,0.00847424
0.616,0.999707,0.616,0.0095209,0.616,0.00876185,0.616,0.00847911
0.618,0.999839,0.618,0.0095231,0.618,0.00876185,0.618,0.00847911
0.62,0.999932,0.62,0.00952969,0.62,0.00876672,0.62,0.00848398
0.622,0.999986,0.622,0.00953628,0.622,0.00876672,0.622,0.00848398
0.624,1,0.624,0.00953848,0.624,0.00876672,0.624,0.00848398
0.626,0.999974,0.626,0.00953848,0.626,0.00876672,0.626,0.00848398
0.628,0.999908,0.628,0.00954068,0.628,0.00876672,0.628,0.00848398
0.63,0.999802,0.63,0.00954287,0.63,0.00876672,0.63,0.00848398
0.632,0.999656,0.632,0.00954507,0.632,0.00876185,0.632,0.00847911
0.634,0.99947,0.634,0.00954507,0.634,0.00876185,0.634,0.00847911
0.636,0.999243,0.636,0.00954727,0.636,0.00876185,0.636,0.00847911
0.638,0.998975,0.638,0.00954727,0.638,0.00875698,0.638,0.00847424
0.64,0.998667,0.64,0.00954727,0.64,0.00875698,0.64,0.00847424
0.642,0.998318,0.642,0.00954727,0.642,0.00875211,0.642,0.00846936
0.644,0.997927,0.644,0.00954727,0.644,0.00875211,0.644,0.00846936
0.646,0.997496,0.646,0.00954727,0.646,0.00875211,0.646,0.00846936
0.648,0.997023,0.648,0.00954727,0.648,0.00874724,0.648,0.00846449
0.65,0.996508,0.65,0.00954727,0.65,0.00874724,0.65,0.00846449
0.652,0.995952,0.652,0.00954727,0.652,0.00874724,0.652,0.00846449
0.654,0.995354,0.654,0.00954727,0.654,0.00874724,0.654,0.00846449
0.656,0.994714,0.656,0.00954727,0.656,0.00874724,0.656,0.00846449
0.658,0.994033,0.658,0.00954727,0.658,0.00874724,0.658,0.00846449
0.66,0.993309,0.66,0.00954727,0.66,0.00874237,0.66,0.00845962
0.662,0.992542,0.662,0.00954727,0.662,0.00874237,0.662,0.00845962
0.664,0.991734,0.664,0.00954727,0.664,0.00874237,0.664,0.00845962
0.666,0.990882,0.666,0.00954727,0.666,0.00874237,0.666,0.00845962
0.668,0.989989,0.668,0.00954727,0.668,0.00874237,0.668,0.00845962
0.67,0.989052,0.67,0.00954727,0.67,0.00874237,0.67,0.00845962
